id,title,subtitle,poster,pubdate,url,rating,genres,star,star_time
,双人成行,,https://lain.bgm.tv/pic/cover/c/7a/c9/308947_eQPMO.jpg,,https://bangumi.tv/subject/308947,,,PC,2022-06
,凯瑟琳·浓郁口感,,https://drive.mantyke.icu/api/v3/file/get/3134/QQ%E5%9B%BE%E7%89%8720220625022538.jpg?sign=Nb92LRyNezFbSP0ogA2kVPtWl__hzgtVmaQKzX0n5SI%3D%3A0,,https://www.douban.com/game/27608446/,,,switch,2022-03
,古书店街的桥姬,,https://img9.doubanio.com/lpic/s33925837.jpg,,https://dramaticcreate.com/hashihime/zh-cn/,,,switch,2021-12
,弹丸论破·希望的学园和绝望高中生,,https://lain.bgm.tv/pic/cover/c/76/c6/10336_A42Iz.jpg,,https://bangumi.tv/subject/10336,,,switch,2021-11-20
,整蛊白云,,https://img9.doubanio.com/lpic/s34193214.jpg,,https://bangumi.tv/subject/333809,,,switch,2021-11-15
,搭档任务·秘密搜查组,,https://lain.bgm.tv/pic/cover/c/0a/b9/317758_nmmcP.jpg,,https://www.nintendo.com.hk/switch/aq2fa/,,,switch,2021-10-25
,勇者斗恶龙：创世小玩家2,,https://img9.doubanio.com/lpic/s29857164.jpg,,https://www.douban.com/game/27110728/,,,switch,2021-09
,艾迪芬奇的记忆,,https://lain.bgm.tv/pic/cover/c/cc/10/211667_ms9s9.jpg,,https://bangumi.tv/subject/211667,,,PC,2021-07-21
,花园之间,,https://img9.doubanio.com/lpic/s29850008.jpg,,https://www.douban.com/game/27110895/,,,PC,2021-06-22
,宝可梦随乐拍,,https://lain.bgm.tv/pic/cover/c/28/a8/308881_cBO4v.jpg,,https://game.portal-pokemon.com/newpokemonsnap/tc/,,,switch,2021-06-15
,超级马里奥3D世界+狂怒世界,,https://www.nintendo.com.hk/switch/auzpa/assets/img/top/mv_sp.jpg,,https://www.nintendo.com.hk/switch/auzpa/,,,switch,2021-05
,耀西的手工世界,,https://img9.doubanio.com/lpic/s29971478.jpg,,https://www.nintendo.com.hk/switch/yoshis_crafted_world/,,,,2021-04-05
,最终幻想7 重制版,,https://lain.bgm.tv/pic/cover/l/6e/32/137458_fwH60.jpg,,https://bangumi.tv/subject/137458,,,ps4,2020-12-06
,十三机兵防卫圈,,https://lain.bgm.tv/pic/cover/c/8a/54/146598_m2Dj6.jpg,,https://bangumi.tv/subject/146598,,,ps4,2020-10-07
,虔诚之花的晚钟,,https://lain.bgm.tv/pic/cover/c/8a/f9/224586_EBiO5.jpg,,https://bangumi.tv/subject/224586,,,switch,2020-06-22
,路易吉洋馆3,,https://img9.doubanio.com/lpic/s33463629.jpg,,https://www.douban.com/game/30325261/,,,switch,2020-04-25
,集合啦！动物森友会,,https://img9.doubanio.com/lpic/s33554421.jpg,,https://www.douban.com/game/30325263/,,,switch,2020-03-20
,逆转裁判123 成步堂精选集,,https://img9.doubanio.com/lpic/s30002744.jpg,,https://www.douban.com/game/25890885/,,,switch,2020-02-24
,超级马里奥·奥德赛,,https://lain.bgm.tv/pic/cover/c/27/32/205917_InZ2j.jpg,,https://www.nintendo.com.hk/switch/super_mario_odyssey/,,,switch,2019-07
,剑为君舞,,https://img9.doubanio.com/lpic/s24593973.jpg,,https://www.douban.com/game/20505863/,,,PC,2019-05
,塞尔达传说 旷野之息,,https://lain.bgm.tv/pic/cover/c/60/d8/62229_SrxX4.jpg,,https://bangumi.tv/subject/62229,,,switch,2019-04
,健身拳击,,https://lain.bgm.tv/pic/cover/c/24/e1/265544_zzSUI.jpg,,https://bangumi.tv/subject/265544,,,switch,2019-03-27
,古剑奇谭三：梦付千秋星垂野,,https://lain.bgm.tv/pic/cover/c/22/06/237159_FnJBH.jpg,,https://bangumi.tv/subject/237159,,,PC,2018-11-23
,战国姬歌～时果之契～,,https://lain.bgm.tv/pic/cover/c/7a/db/134630_66ky4.jpg,,https://bangumi.tv/subject/134630,,,PC,2016-08
,不可逾越的红花,,https://lain.bgm.tv/pic/cover/c/06/5d/94995_kZ8LJ.jpg,,https://bangumi.tv/subject/94995,,,PC,2015-09
,古剑奇谭二：永夜初晗凝碧天,,https://lain.bgm.tv/pic/cover/c/a3/3e/59079_H5uO4.jpg,,https://bangumi.tv/subject/59079,,,PC,2015-08-18
,古剑奇谭：琴心剑魄今何在,,https://lain.bgm.tv/pic/cover/c/c2/55/3870_e04EV.jpg,,https://bangumi.tv/subject/3870,,,PC,2013-07-18
